,Date,Open,High,Low,Close,Adj Close,Volume
83,2017-05-12,182.5,182.5,178.5,180.5,164.014908,403000.0
84,2017-05-15,180.5,180.5,174.0,175.0,159.017212,838000.0
85,2017-05-16,174.5,180.0,174.0,179.5,163.106216,853000.0
86,2017-05-17,179.0,180.0,176.5,180.0,163.560562,411000.0
87,2017-05-18,178.0,179.5,175.0,179.5,163.106216,946000.0
88,2017-05-19,176.5,178.0,176.5,177.0,160.834549,599000.0
89,2017-05-22,177.0,179.5,177.0,178.0,161.74321,430000.0
90,2017-05-23,176.0,177.0,175.0,175.0,159.017212,497000.0
91,2017-05-24,175.0,176.5,174.5,176.0,159.925873,299000.0
92,2017-05-25,176.0,177.0,175.5,176.5,160.380219,444000.0
93,2017-05-26,178.5,179.5,177.5,179.5,163.106216,718000.0
94,2017-05-31,180.0,181.0,175.5,176.5,160.380219,1485000.0
95,2017-06-01,176.5,177.0,175.5,175.5,159.471558,328000.0
96,2017-06-02,178.0,178.5,175.5,177.0,160.834549,363000.0
97,2017-06-03,,,,,,
98,2017-06-05,178.0,178.5,176.0,177.0,160.834549,277000.0
99,2017-06-06,178.0,178.0,174.0,175.5,159.471558,531000.0
100,2017-06-07,176.0,178.0,176.0,177.5,161.288895,524000.0
101,2017-06-08,177.5,178.0,176.0,176.0,159.925873,329000.0
102,2017-06-09,177.5,178.0,174.5,174.5,158.562881,384000.0
103,2017-06-12,175.5,177.0,175.0,175.0,159.017212,535000.0
104,2017-06-13,176.5,176.5,175.0,175.5,159.471558,196000.0
105,2017-06-14,177.0,177.0,174.5,175.0,159.017212,711000.0
106,2017-06-15,175.0,176.0,173.0,174.0,158.108551,395000.0
107,2017-06-16,174.5,175.5,174.0,175.5,159.471558,352000.0
108,2017-06-19,175.5,175.5,174.0,175.5,159.471558,196000.0
109,2017-06-20,175.5,175.5,174.0,174.5,158.562881,274000.0
110,2017-06-21,174.0,176.5,173.5,174.5,158.562881,428000.0
111,2017-06-22,174.0,179.5,174.0,179.0,162.651886,793000.0
112,2017-06-23,179.0,180.0,174.5,175.0,159.017212,402000.0
113,2017-06-26,176.5,178.0,175.0,178.0,161.74321,453000.0
114,2017-06-27,177.0,178.0,175.5,177.5,161.288895,523000.0
115,2017-06-28,177.5,177.5,175.0,176.5,160.380219,441000.0
116,2017-06-29,177.0,177.0,174.5,176.5,160.380219,348000.0
117,2017-06-30,175.0,175.5,173.0,174.0,158.108551,647000.0
118,2017-07-03,174.0,175.0,173.0,175.0,159.017212,470000.0
119,2017-07-04,175.5,175.5,173.0,174.0,158.108551,340000.0
120,2017-07-05,174.0,176.0,174.0,175.5,159.471558,307000.0
121,2017-07-06,175.5,176.0,174.0,175.0,159.017212,200000.0
122,2017-07-07,175.0,175.0,174.0,174.0,158.108551,95000.0
123,2017-07-10,174.0,174.0,171.0,171.0,155.382538,482000.0
124,2017-07-11,171.0,173.0,170.0,170.5,154.928192,322000.0
125,2017-07-12,171.0,171.0,168.5,168.5,153.110855,607000.0
126,2017-07-13,170.0,170.0,165.5,166.0,150.839172,863000.0
127,2017-07-14,166.0,167.0,166.0,166.0,150.839172,151000.0
128,2017-07-17,167.0,167.0,165.0,165.5,150.384857,334000.0
129,2017-07-18,165.5,166.5,160.0,160.5,145.841507,814000.0
130,2017-07-19,160.0,160.5,154.0,155.0,140.843826,1471000.0
131,2017-07-20,155.0,157.0,154.5,156.0,141.752487,656000.0
132,2017-07-21,156.5,158.0,156.5,157.5,143.115494,318000.0
133,2017-07-24,157.5,158.0,155.0,156.5,142.206818,330000.0
134,2017-07-25,157.5,157.5,155.5,155.5,141.298141,288000.0
135,2017-07-26,155.5,156.0,153.0,153.0,139.026474,500000.0
136,2017-07-27,153.0,154.0,148.5,151.5,137.663483,824000.0
137,2017-07-28,151.5,152.5,150.5,150.5,136.754807,269000.0
138,2017-07-31,150.0,150.5,146.5,149.0,135.3918,725000.0
139,2017-08-01,149.0,149.0,146.5,146.5,133.120117,547000.0
140,2017-08-02,146.5,156.5,146.5,155.5,141.298141,1126000.0
141,2017-08-03,156.0,156.0,151.5,151.5,137.663483,672000.0
142,2017-08-04,151.5,153.5,151.5,153.0,139.026474,231000.0
143,2017-08-07,154.5,156.5,153.0,156.0,141.752487,599000.0
144,2017-08-08,156.0,157.0,153.0,154.5,140.389481,357000.0
145,2017-08-09,153.5,154.0,151.5,153.5,139.48082,439000.0
146,2017-08-10,153.5,154.5,150.0,150.5,136.754807,463000.0
147,2017-08-11,150.0,156.0,150.0,155.0,140.843826,781000.0
